date,demanda_energia,tarifa_energia_real,pib_real,importacoes_petroleo,d_2001,d_2006,d_2008,d_2020
2022-11-01,15413000.0,592.6091272867313,900078.3312779753,149.91,0,0,0,0
2022-12-01,14924000.0,601.9650172962232,901756.3893185272,133.75,0,0,0,0
2023-01-01,14945000.0,616.1813631149696,828771.023291122,136.79,0,0,0,0
2023-02-01,14672000.0,610.0315234754239,847182.6023608793,130.21,0,0,0,0
2023-03-01,15985000.0,611.5473629763941,959964.7422222906,123.85,0,0,0,0
2023-04-01,15839000.0,609.0679815193458,934618.0810268468,118.97,0,0,0,0
2023-05-01,15748000.0,641.9689545559776,955405.0816614468,111.01,0,0,0,0
2023-06-01,15641000.0,653.2351201282569,958553.93283722,110.27,0,0,0,0
2023-07-01,15710000.0,661.7934739825128,982316.6250706924,114.96,0,0,0,0
2023-08-01,16134000.0,664.6058796336421,994557.8925655104,117.68,0,0,0,0
2023-09-01,15984000.0,661.3441855483943,971378.8546751392,124.5,0,0,0,0
2023-10-01,16243000.0,673.8099696336517,1006632.7621506986,127.42,0,0,0,0
2023-11-01,16060000.0,671.2375768979093,1008763.3409261086,119.02,0,0,0,0
2023-12-01,15681000.0,673.3882813139687,1001159.5898676245,113.3,0,0,0,0
2024-01-01,15558000.0,693.7355492887074,940530.5323415454,112.28,0,0,0,0
2024-02-01,15572000.0,687.252558032542,955312.5830060412,116.84,0,0,0,0
2024-03-01,16274000.0,690.6589016538824,1028415.5132413972,118.47,0,0,0,0
2024-04-01,16377000.0,684.4898186640112,1046573.7219210285,113.44,0,0,0,0
2024-05-01,16536000.0,680.202039463801,1008441.957449772,108.78,0,0,0,0
2024-06-01,16332000.0,683.084595257053,1011786.1357312044,105.83,0,0,0,0
2024-07-01,16789000.0,693.9153029161832,1043244.3298736638,109.16,0,0,0,0
2024-08-01,17333000.0,690.6779614647738,1026961.9028847392,106.95,0,0,0,0
2024-09-01,16919000.0,686.0798498960286,1010590.8668192638,101.81,0,0,0,0
2024-10-01,16917000.0,726.6549537060339,1055831.4564828186,101.85,0,0,0,0
2024-11-01,16876000.0,718.0407773184194,1021711.4112361544,104.97,0,0,0,0
